gan,dataset,embedding,epoch,class0,class1,class2,class3,class4,class5,class6,class7,unconditional_fid
vanilla,blood,4,10,229.1589,175.9495,214.1633,257.4007,208.0142,268.542,172.7225,235.4219,267.8828
vanilla,blood,4,100,196.3067,158.2705,156.3784,206.6358,218.3576,200.8384,153.3921,174.9232,83.0219
vanilla,blood,8,10,259.4953,180.1759,232.1217,298.0765,309.2942,289.0406,182.0815,201.2934,277.42
vanilla,blood,8,100,226.2586,187.5164,183.6328,166.6763,207.8012,226.236,130.1353,136.7014,79.9322
vanilla,blood,32,10,377.1563,162.9639,283.07,265.418,256.3853,293.0643,265.0281,315.5203,373.0349
vanilla,blood,32,100,227.1524,128.4484,190.8416,196.5616,224.7924,308.7869,121.0222,166.6987,87.6243
vanilla,blood,0,10,230.6969,149.6837,228.5649,226.442,217.7289,236.9521,209.6646,195.2805,189.160553
vanilla,blood,0,100,204.6416,157.2007,185.3455,194.3017,191.3282,267.2566,135.1487,149.3261,81.02
Wasserstein,blood,4,10,237.493,170.5624,233.4667,263.5856,247.0869,251.1111,135.2988,146.7765,161.4411
Wasserstein,blood,4,100,269.1926,178.2229,143.4574,202.1383,230.7887,202.4459,110.4425,167.1094,72.7654
Wasserstein,blood,8,10,318.138,177.2151,233.4981,239.9959,277.082,238.1891,124.3043,153.9447,159.9264
Wasserstein,blood,8,100,219.1739,187.3055,145.649,202.64,185.1404,215.8112,92.9379,186.9268,77.9242
Wasserstein,blood,32,10,292.633,117.7553,290.6783,262.2312,254.982,282.2695,142.823,176.4593,175.5002
Wasserstein,blood,32,100,217.3914,155.4833,170.3777,178.5308,184.7453,183.3852,99.4686,175.4869,76.9658
Wasserstein,blood,0,10,204.8001,126.8247,218.9547,216.8718,250.1415,242.8046,117.4918,155.3312,153.2396
Wasserstein,blood,0,100,194.6565,138.5821,135.5602,166.5598,182.1953,187.5291,94.7682,171.8702,67.9145
